timestamp,dl_rssi,dl_snr,ul_rssi,ul_snr,rssi_mean,snr_mean,rssi_diff,snr_diff,periodo,temp_c,dewpoint_c,precip_mm,press_hpa,wind_ms,rain_flag,rain_class
2025-09-20 00:00:00,-75.66666666666667,21.166666666666668,-68.66666666666667,28.833333333333332,-72.16666666666667,25.0,-7.0,-7.666666666666667,seco,7.76355,7.5788574,0.1918301,694.28064,0.8911954,1,lluvia_ligera
2025-09-20 01:00:00,-75.5,20.833333333333332,-69.25,28.5,-72.375,24.666666666666668,-6.25,-7.666666666666667,seco,7.4093933,7.322876,0.19327551,693.8862,0.60665303,1,lluvia_ligera
2025-09-20 02:00:00,-75.33333333333333,21.0,-69.58333333333333,28.083333333333332,-72.45833333333333,24.541666666666668,-5.75,-7.083333333333333,seco,7.5662537,7.4145203,0.20553917,693.41876,0.9303225,1,lluvia_ligera
2025-09-20 03:00:00,-74.58333333333333,21.916666666666668,-69.08333333333333,28.75,-71.83333333333333,25.333333333333332,-5.5,-6.833333333333333,seco,7.5371094,7.4230957,0.21695346,693.02124,0.75128734,1,lluvia_ligera
2025-09-20 04:00:00,-74.83333333333333,22.0,-67.83333333333333,29.5,-71.33333333333333,25.75,-7.0,-7.5,seco,7.8302307,7.566864,0.22231787,692.90186,0.8103119,1,lluvia_ligera
2025-09-20 05:00:00,-74.08333333333333,22.5,-68.33333333333333,29.25,-71.20833333333333,25.875,-5.75,-6.75,seco,7.7395325,7.2623596,0.22440404,692.89624,0.8765898,1,lluvia_ligera
2025-09-20 06:00:00,-74.08333333333333,23.0,-67.75,29.916666666666668,-70.91666666666667,26.458333333333332,-6.333333333333333,-6.916666666666667,seco,7.5724792,7.2076416,0.22643805,693.5825,0.8634532,1,lluvia_ligera
2025-09-20 07:00:00,-73.36363636363636,23.454545454545453,-67.45454545454545,30.09090909090909,-70.4090909090909,26.772727272727273,-5.909090909090909,-6.636363636363637,seco,7.985321,7.407898,0.2341941,694.03625,1.0915151,1,lluvia_ligera
2025-09-20 08:00:00,-72.41666666666667,24.583333333333332,-67.41666666666667,30.75,-69.91666666666667,27.666666666666668,-5.0,-6.166666666666667,seco,9.17746,6.8218994,0.26474893,694.6362,1.6397809,1,lluvia_ligera
2025-09-20 09:00:00,-71.75,25.25,-66.41666666666667,31.833333333333332,-69.08333333333333,28.541666666666668,-5.333333333333333,-6.583333333333333,seco,11.187927,6.917938,0.30490756,694.88,1.9171692,1,lluvia_ligera
2025-09-20 10:00:00,-71.66666666666667,25.25,-66.16666666666667,32.166666666666664,-68.91666666666667,28.708333333333332,-5.5,-6.916666666666667,seco,13.048096,6.4477234,0.41224062,695.0694,2.08114,1,lluvia_ligera
2025-09-20 11:00:00,-72.58333333333333,24.083333333333332,-66.0,31.5,-69.29166666666667,27.791666666666668,-6.583333333333333,-7.416666666666667,seco,14.113525,6.8263855,0.54863095,694.70374,2.1370344,1,lluvia_ligera
2025-09-20 12:00:00,-72.91666666666667,23.916666666666668,-66.75,30.75,-69.83333333333333,27.333333333333332,-6.166666666666667,-6.833333333333333,seco,14.115356,7.358673,0.9306669,693.8725,2.1032243,1,lluvia_ligera
2025-09-20 13:00:00,-73.0,23.833333333333332,-66.58333333333333,31.083333333333332,-69.79166666666667,27.458333333333332,-6.416666666666667,-7.25,seco,14.3003845,7.7494507,1.3551146,692.91565,1.9455733,1,lluvia_ligera
2025-09-20 14:00:00,-73.2,23.7,-66.7,30.8,-69.95,27.25,-6.5,-7.1,seco,13.294373,7.5505066,3.5710216,692.57874,1.8613733,1,lluvia_moderada
2025-09-20 15:00:00,-72.75,24.083333333333332,-66.5,31.0,-69.625,27.541666666666668,-6.25,-6.916666666666667,seco,13.021698,8.448395,5.0298896,692.46,1.5530937,1,lluvia_moderada
2025-09-20 16:00:00,-72.75,24.166666666666668,-66.0,31.333333333333332,-69.375,27.75,-6.75,-7.166666666666667,seco,11.813812,8.213287,6.183615,692.08624,1.4502023,1,lluvia_moderada
2025-09-20 17:00:00,-72.91666666666667,23.75,-66.08333333333333,31.166666666666668,-69.5,27.458333333333332,-6.833333333333333,-7.416666666666667,seco,10.959564,7.4685974,7.462318,692.3594,1.1030418,1,lluvia_moderada
2025-09-20 18:00:00,-72.66666666666667,24.0,-66.16666666666667,31.333333333333332,-69.41666666666667,27.666666666666668,-6.5,-7.333333333333333,seco,10.46283,7.5543823,7.7176065,692.8331,1.0980511,1,lluvia_moderada
